implementation,msg_size,num_threads,throughput_gbps,avg_latency_us,total_bytes
twocopy,64,1,0.855762,0.58,1069702080
twocopy,64,2,0.901019,1.12,1126273344
twocopy,64,4,0.865866,2.35,1082332352
twocopy,64,8,0.900588,4.53,1125735424
twocopy,1024,1,0.865371,9.45,1081713664
twocopy,1024,2,0.877763,18.65,1097203712
twocopy,1024,4,0.875231,37.42,1094038528
twocopy,1024,8,0.887774,73.80,1109718016
twocopy,16384,1,0.877737,149.30,1097170944
twocopy,16384,2,0.868077,301.94,1085095936
twocopy,16384,4,0.891853,587.89,1114816512
twocopy,16384,8,0.858548,1221.46,1073184768
twocopy,65536,1,0.902509,580.91,1128136704
twocopy,65536,2,0.860252,1218.88,1075314688
twocopy,65536,4,0.894540,2344.90,1118175232
twocopy,65536,8,0.862716,4862.60,1078394880
onecopy,64,1,0.879652,0.57,1099564480
onecopy,64,2,0.858059,1.18,1072573696
onecopy,64,4,0.870827,2.33,1088534208
onecopy,64,8,0.902914,4.52,1128642944
onecopy,1024,1,0.862034,9.48,1077541888
onecopy,1024,2,0.898233,18.22,1122791424
onecopy,1024,4,0.848309,38.61,1060385792
onecopy,1024,8,0.899247,72.87,1124059136
onecopy,16384,1,0.860619,152.27,1075773440
onecopy,16384,2,0.890136,294.49,1112670208
onecopy,16384,4,0.870436,602.34,1088045056
onecopy,16384,8,0.906101,1157.36,1132625920
onecopy,65536,1,0.897162,584.34,1121452032
onecopy,65536,2,0.882115,1188.63,1102643200
onecopy,65536,4,0.906284,2314.14,1132855296
onecopy,65536,8,0.892548,4700.15,1115684864
zerocopy,64,1,0.042701,11.97,53376512
zerocopy,64,2,0.086059,11.88,107574016
zerocopy,64,4,0.168378,12.13,210472768
zerocopy,64,8,0.337806,12.10,422257216
zerocopy,1024,1,0.899300,9.09,1124124672
zerocopy,1024,2,0.899618,18.20,1124523008
zerocopy,1024,4,0.901347,36.34,1126683648
zerocopy,1024,8,0.900588,72.76,1125734400
zerocopy,16384,1,0.905262,144.76,1131577344
zerocopy,16384,2,0.904004,289.96,1130004480
zerocopy,16384,4,0.904934,579.38,1131167744
zerocopy,16384,8,0.903768,1160.35,1129709568
zerocopy,65536,1,0.901880,581.30,1127350272
zerocopy,65536,2,0.900360,1164.60,1125449728
zerocopy,65536,4,0.905917,2315.24,1132396544
zerocopy,65536,8,0.903873,4641.18,1129840640
