implementation,msg_size,num_threads,cpu_cycles,L1_misses,LLC_misses,context_switches,cpu_clock_ms
A1,64,1,20338938003,40005256,91508,722703,4359.67
A1,64,2,21565568951,43522457,188471,760930,4622.70
A1,64,4,20746084223,48573531,239347,718347,4450.43
A1,64,8,21362453118,52911524,245379,745446,4618.26
A1,1024,1,4842309754,37144608,24225,737374,1246.77
A1,1024,2,4819897231,43355536,29817,742734,1345.64
A1,1024,4,4719593689,46755348,34229,736077,1176.90
A1,1024,8,4914858424,49528502,46938,736724,1267.07
A1,16384,1,4205272482,46774134,23662,747636,1625.32
A1,16384,2,4024105878,51431261,41168,734041,1160.61
A1,16384,4,4232520072,53415276,46287,753588,1178.75
A1,16384,8,4155409556,58691850,48830,707814,1049.77
A1,65536,1,4823684121,57859276,19909,770337,1204.39
A1,65536,2,4553445160,56933270,35337,729284,1286.84
A1,65536,4,4614464245,59944603,47265,755314,1508.50
A1,65536,8,4525747337,62574248,53805,712376,1438.99
A2,64,1,20897688920,38118192,53125,740586,4526.08
A2,64,2,20487630122,45434404,202815,714799,4463.76
A2,64,4,20712378495,46924614,220973,722460,4509.25
A2,64,8,21341853318,51177159,212421,744157,4719.00
A2,1024,1,4832411651,38779652,20218,733362,1509.61
A2,1024,2,4934823254,44892623,21857,765902,1337.66
A2,1024,4,4730592459,44565694,39317,709161,1261.89
A2,1024,8,4903195467,53250233,50993,748699,1220.38
A2,16384,1,3948727343,52416589,27777,731268,1046.52
A2,16384,2,4025722277,50712219,26737,757452,1178.73
A2,16384,4,4119155985,53220840,38408,732305,1172.75
A2,16384,8,4345805640,56752401,50619,761436,1243.92
A2,65536,1,4697668353,55452294,30535,766425,1465.19
A2,65536,2,4606445685,58995305,41883,749426,1349.19
A2,65536,4,4424241186,55569579,41939,768120,1379.97
A2,65536,8,4692393109,62340018,66642,738182,1606.68
A3,64,1,1327103198,5946538,2937,71288,303.18
A3,64,2,2821833918,15853560,118079,143377,617.56
A3,64,4,5628674410,29894250,150087,278520,2007.38
A3,64,8,12641874825,75714334,553468,559611,2877.49
A3,1024,1,5082860077,47409911,28905,764851,1254.93
A3,1024,2,5200725840,44946109,28329,763402,1284.81
A3,1024,4,5105319507,50054593,37047,761756,1310.83
A3,1024,8,5167255340,51345212,57298,755237,1361.85
A3,16384,1,4532534157,51299459,27450,778840,1418.39
A3,16384,2,4306707407,56249793,35154,773081,1109.72
A3,16384,4,4407562435,59655243,52968,772200,1186.99
A3,16384,8,4587499460,61724517,73559,762688,1309.52
A3,65536,1,4493783272,52926767,35114,771099,1407.61
A3,65536,2,4594108066,59880169,33617,767101,1291.44
A3,65536,4,4823732620,58253061,51454,770389,1537.74
A3,65536,8,4774673712,62333253,63490,757419,1492.91
